zip_code,asian_ratio,white_ratio,black_ratio,age,income
38232,0.001163,0.963372,0.012209,48.5,24487
99621,0.002837,0.000000,0.000000,23.6,11250
28583,0.007843,0.627451,0.298039,42.2,23553
59336,0.008621,0.991379,0.000000,34.4,31042
51447,0.008696,0.991304,0.000000,62,29018
04652,0.001144,0.974828,0.005721,56.7,17722
56571,0.001095,0.955118,0.000000,52.2,28870
85543,0.000549,0.920966,0.000274,34.2,22447
64443,0.001738,0.982624,0.000000,48.8,30208
71008,0.002907,0.732558,0.261628,57,20913
43314,0.000657,0.914201,0.000000,43.6,35065
48894,0.001099,0.988462,0.000000,35.8,29688
28332,0.006757,0.591216,0.351351,33.6,25000
13494,0.008621,0.991379,0.000000,55.4,29821
38833,0.000791,0.982199,0.001187,38,16500
58467,0.002845,0.978663,0.008535,30.9,29018
13493,0.001124,0.968522,0.000562,38.9,23630
04961,0.002358,0.962264,0.000000,57.5,26385
15675,0.001736,0.978299,0.002604,27,27072
18437,0.009804,0.990196,0.000000,51.4,22750
52765,0.005076,0.979695,0.000000,49.4,29545
42024,0.001475,0.941740,0.022861,41.6,27277
59420,0.008811,0.801762,0.000000,38.6,41250
99113,0.002809,0.976124,0.000000,50.3,37292
66080,0.002070,0.971014,0.000000,45.6,30192
56023,0.003597,0.989209,0.000000,36.7,30156
72160,0.000201,0.640639,0.347201,39.5,22099
51230,0.007692,0.942308,0.000000,36.8,28839
74472,0.002882,0.714697,0.012968,34,22143
65279,0.001209,0.996977,0.000605,51.4,40980
05874,0.003663,0.976190,0.000000,47,23654
96086,0.007547,0.792453,0.000000,58.5,18676
49128,0.000559,0.963098,0.006430,45.6,25822
77835,0.000768,0.799846,0.182866,56.8,34527
93526,0.003125,0.831250,0.001563,49,33147
72846,0.000508,0.974326,0.004575,36.2,19752
48748,0.001102,0.970248,0.005510,58.2,20532
68652,0.003460,0.975779,0.005190,57.3,32019
50557,0.002736,0.960328,0.000000,51.1,27525
31049,0.001048,0.995809,0.003143,39.7,17099
57238,0.003604,0.996396,0.000000,34.3,36875
68771,0.001425,0.986467,0.000000,48.8,27644
50434,0.004975,0.980100,0.000000,44.6,28942
18970,0.002488,0.982587,0.002488,38.9,42284
99568,0.007117,0.907473,0.000000,55.9,35938
63557,0.008889,0.968889,0.000000,45,20417
86538,0.000962,0.025481,0.003365,28.9,12449
81049,0.006536,0.977124,0.000000,52.5,26250
46133,0.003263,0.970636,0.000000,47.8,27115
54534,0.000907,0.962812,0.014512,53,21809
74848,0.000248,0.676569,0.087758,37.4,20448
04010,0.001401,0.998599,0.000000,46.8,28212
05682,0.001723,0.948320,0.006891,47.9,32614
56660,0.005814,0.927326,0.000000,37.6,20139
